,GRDC_NO,R_AREA,H_AREA,START,END,LENGTH,MIN_Z,MN_Z,MAX_Z,E_NORM_CRLF,ERR_HI,BW,BE,BN,BS,CX,CY,R_Q,H_Q,R_R,H_R,MIN_R,MN_R,MAX_R
0,1104450,1912.0,2030.9,1979,1995,17,2.0,391.03809199897967,1532.0,0.0,0.0,2.20223795572889,3.051965332030875,36.69020423889049,36.20833333333229,2.6922684721140353,36.44106775651948,3.723,5.39,0.16823598326359834,0.22930523413265055,7.0,370.69152917162785,1282.0
1,1104600,4309.0,4034.9,1988,1997,10,239.0,949.9413911550022,1695.0,0.0,0.0,4.588279215494538,5.593670654296602,36.55367024739468,35.75416666666564,5.10000796497909,36.189051202336096,4.69,8.03,0.09403945230912046,0.1719477558303799,11.0,290.1708521141876,997.0
2,1104800,552.0,551.4,1978,2003,26,105.0,637.1705329153605,1258.0,0.0,0.0,7.4817789713537195,7.981040445963117,36.506385803221576,36.21713473002001,7.760436537478326,36.36802041441394,2.88,1.4,0.4507826086956522,0.2193688792165397,138.0,446.82627783004074,830.0
3,1107800,1118.0,1246.1,1979,1999,21,244.0,805.3721225815563,1581.0,0.0,0.0,-1.355080159505519,-0.8730712890627501,35.18816960652566,34.70791346231994,-1.0817502608227283,34.93212849346906,0.693,0.47,0.0535556350626118,0.032588074793355265,49.0,285.3430306453891,657.0
4,1134150,3050.0,3139.1,1972,1992,21,311.0,364.8324821932536,617.0,0.0,0.0,-7.343519083659032,-6.80486857096372,11.095833333332621,10.124999999999375,-7.099366333382861,10.68619095807071,7.614,19.46,0.21568839344262294,0.5356133923736103,19.0,46.86476485231783,274.0
5,1134320,-999.0,14483.5,1957,1979,23,,,,0.0,0.0,,,,,,,,,,,,,
6,1134620,-999.0,8535.9,1931,1990,60,,,,0.0,0.0,,,,,,,,,,,,,
7,1134630,-999.0,340103.2,1954,1992,39,,,,0.0,0.0,,,,,,,,,,,,,
8,1134650,-999.0,14431.9,1954,1992,39,,,,0.0,0.0,,,,,,,,,,,,,
9,1159601,2397.0,2368.0,1912,2020,109,1390.0,1645.2501936483345,2145.0,0.0,0.0,25.999999999999318,26.5916666666659,-30.92626139322914,-31.612500000000068,26.284348722734457,-31.295292641279328,1.26,1.09,0.04541677096370463,0.039770270270270275,32.0,196.47384734598992,549.0
10,1159900,4152.0,4130.2,1906,2019,114,1525.0,1764.0388783839874,2281.0,0.0,0.0,29.18997802734293,30.104166666666003,-27.126904296875068,-27.962500000000034,29.55470647450971,-27.453576050111618,6.356,8.99,0.1322635838150289,0.18806256355624423,29.0,178.44345499007983,550.0
11,1160200,2349.0,2351.3,1967,2020,54,177.0,712.0085651422285,1559.0,0.0,0.0,18.076359049478697,18.660335286457723,-30.29852701822915,-30.907828776041697,18.32899134208563,-30.60029562053301,0.027,0.63,0.0009931034482758621,0.023149746948496575,37.0,313.25542282301166,838.0
12,1160220,265.0,289.6,1970,2020,51,833.0,1014.3312577833126,1772.0,0.0,0.0,19.176855468749466,19.39481201171816,-32.75845540364588,-32.95416666666671,19.282394502874435,-32.86199101855055,2.832,0.97,0.9233388679245282,0.28939226519337014,23.0,373.1805728518057,964.0
13,1160300,657.0,636.2,1923,2020,98,447.0,821.2853919909758,1940.0,0.0,0.0,19.21304931640566,19.579166666666026,-33.20416666666665,-33.47916666666663,19.396480157497432,-33.33096780853829,3.298,3.31,0.4337095890410959,0.4495190191763596,31.0,496.3681984775867,1354.0
14,1160301,753.0,737.2,1950,2019,70,324.0,851.0676399026764,1940.0,0.0,0.0,19.21304931640566,19.579166666666026,-33.20416666666665,-33.51141764322921,19.38702244166138,-33.34690985710881,8.14,3.91,0.93399203187251,0.4582528486163863,31.0,563.2006810994892,1556.0
15,1160350,2900.0,2904.3,1969,2001,33,486.0,901.302578018996,2057.0,0.0,0.0,19.65833333333285,20.723168945311954,-33.1920166015625,-33.69576009114587,20.182102266082385,-33.4394757971733,2.938,2.98,0.0875321379310345,0.08865199876045864,20.0,294.4702726039225,1250.0
16,1160400,145.0,145.5,1961,2020,60,124.0,369.1358629130967,1350.0,0.0,0.0,22.23136800130152,22.387817382811818,-33.8751302083333,-34.01249999999999,22.31723420702129,-33.94423164100271,0.803,0.2,0.4784772413793104,0.11876288659793816,44.0,402.6372549019608,1077.0
17,1160450,523.0,102.5,1970,2020,51,787.0,995.8850174216028,1438.0,0.0,0.0,23.18973795572856,23.402844238280693,-33.692545572916686,-33.79583333333335,23.287068002803604,-33.74566647376653,1.202,0.34,0.19857131931166347,0.28659512195121956,213.0,462.27003484320556,882.0
18,1160500,1479.0,1452.7,1957,2020,64,283.0,560.2674576690149,954.0,0.0,0.0,25.542679850259788,26.520833333332575,-33.11763509114587,-33.373291015625,26.033360078277124,-33.23616959203554,0.341,1.06,0.019920486815415823,0.06304398705858058,65.0,237.13062283737025,545.0
19,1160550,462.0,471.1,1964,1997,34,1064.0,1384.784283513097,1838.0,0.0,0.0,26.556339518228413,26.82303873697856,-32.15604654947913,-32.42665201822922,26.6907735013897,-32.27963521940559,0.392,1.05,0.07330909090909092,0.19257057949479942,71.0,294.35187331015834,552.0
20,1160600,2530.0,2541.8,1969,2020,52,19.0,575.7554798893382,1858.0,0.0,0.0,26.75223795572856,27.427331542968034,-32.547998046874966,-33.21526692708335,27.071949977786012,-32.8628955619055,3.18,7.0,0.10859762845849803,0.23794161617751203,57.0,281.53768023297107,1045.0
21,1160650,715.0,730.5,1951,2020,70,636.0,1074.0689916603487,2228.0,0.0,0.0,29.514737955728435,29.84847819010338,-30.51267089843759,-30.854166666666686,29.695946950272276,-30.678511866633123,7.674,3.09,0.9273197202797203,0.3654702258726899,118.0,321.9522123893805,958.0
22,1160680,545.0,550.2,1949,2019,71,1474.0,1911.5928184281843,3214.0,0.0,0.0,29.12541097005129,29.518518066405534,-29.614229329427133,-29.870446777343773,29.30619029679237,-29.74960775997577,7.712,3.1,1.2225996330275228,0.48680479825517997,73.0,486.0538617886179,1143.0
23,1160700,1744.0,1854.7,1960,2020,61,932.0,1704.696728736789,3349.0,0.0,0.0,29.269136555988837,29.95483398437426,-29.341666666666754,-29.80414632161461,29.61720032264379,-29.57663950404943,3.813,9.36,0.18890091743119267,0.43602954655739473,98.0,524.9497886898772,1252.0
24,1160710,358.0,359.2,1954,2020,67,1069.0,1397.6897449245184,1988.0,0.0,0.0,29.829166666665913,30.206058756509663,-29.306441243489644,-29.477360026041765,30.0282536183554,-29.407529658096834,2.631,1.51,0.634967597765363,0.36320712694877505,74.0,233.1697032795419,504.0
25,1160720,299.0,299.8,1960,2020,61,1069.0,1549.167601246106,2014.0,0.0,0.0,29.785648600259663,30.126965332030466,-29.453389485677178,-29.59363199869796,29.947874796384845,-29.524972873900467,7.155,1.31,2.0675317725752507,0.37753168779186125,71.0,319.150343106675,605.0
26,1160750,1546.0,1520.9,1960,2020,61,1098.0,1559.4983376431474,2479.0,0.0,0.0,29.524999999999295,30.268518066405534,-29.02303466796883,-29.458333333333314,29.913464382500386,-29.25721435194691,8.552,6.27,0.4779384217335058,0.3561890985600631,44.0,241.2679472971309,626.0
27,1160800,676.0,651.1,1947,1993,47,1625.0,1869.5417032484636,2246.0,0.0,0.0,29.97720133463457,30.360152180988905,-27.268282063802133,-27.535640462239655,30.18190894071151,-27.4095632963782,13.908,2.22,1.7775905325443786,0.29459069267393645,67.0,251.10005851375072,537.0
28,1196300,1046.0,1046.9,1962,2020,59,952.0,1193.4919656203288,2038.0,0.0,0.0,27.39066569010356,27.77492675781184,-24.13757324218767,-24.481123860677258,27.567614399588734,-24.318885345950477,1.062,0.26,0.08772160611854686,0.02145763683255325,18.0,220.18714979454614,699.0
29,1196350,1171.0,1073.4,1922,2020,99,1180.0,1472.1679554037044,1825.0,0.0,0.0,27.358333333332666,27.839827473957655,-25.74647216796876,-26.202001953125148,27.594385081095464,-25.940312204566684,6.9,0.38,0.5091033304867635,0.030586920067076577,18.0,184.84961323979132,505.0
30,1196600,3256.0,3225.1,1972,2019,48,1507.0,1618.7978869456217,1788.0,0.0,0.0,28.961018880207632,29.837499999999352,-25.965336100260515,-26.519616699218886,29.343286023432512,-26.257922620679903,5.365,5.86,0.1423636363636364,0.15698862050789125,29.0,67.59331742243437,183.0
31,1196700,518.0,512.4,1911,2020,110,1117.0,1498.4306347396428,2152.0,0.0,0.0,30.664005533853413,30.9041666666659,-24.669104003906398,-25.066666666666777,30.768719440733122,-24.862610615248087,5.615,1.7,0.9365559845559845,0.2866510538641686,134.0,451.8388445458001,835.0
32,1199100,910.0,912.6,1963,2020,58,1546.0,1701.0073808519612,1815.0,0.0,0.0,30.13350423177002,30.59863688150972,-26.14426676432305,-26.458333333333485,30.34207764481938,-26.292087643905074,1.293,4.38,0.12276395604395603,0.41467455621301774,27.0,75.2501054407423,218.0
33,1234090,-999.0,596423.3,1975,2002,28,,,,0.0,0.0,,,,,,,,,,,,,
34,1234100,2750.0,2527.0,1961,1987,27,238.0,281.48487845076227,354.0,0.0,0.0,0.12083333333316659,0.7645284016924734,14.333123779296102,13.804166666665992,0.4376170445050413,14.047650448053266,2.852,0.0,0.08960465454545453,0.0,4.0,22.35349950478706,63.0
35,1234190,4030.0,4115.5,1962,1981,20,200.0,253.4152663203992,310.0,0.0,0.0,1.137499999999818,2.255867513020462,12.864162190754485,12.172446695962776,1.7237940170029997,12.501833445976963,2.87,1.33,0.06153052109181142,0.027921759203013,11.0,26.4967919340055,63.0
36,1234201,-999.0,715792.5,1985,2002,18,,,,0.0,0.0,,,,,,,,,,,,,
37,1234500,2525.0,2321.6,1976,1987,12,279.0,377.07021791767556,590.0,0.0,0.0,5.3229573567704165,5.9978759765621135,14.574999999999307,13.664497884113871,5.674955096619311,14.095142041916024,1.386,3.47,0.047425900990099,0.1291385251550655,7.0,66.96877243359656,173.0
38,1234550,824.0,1217.2,1976,1986,11,311.0,430.48352398838995,584.0,0.0,0.0,5.389737955728833,5.948832194009981,14.671244303384753,14.316666666665924,5.651227992275019,14.503926364259796,0.637,1.46,0.06679223300970874,0.10363457114689452,14.0,85.15434522793238,128.0
39,1234700,4800.0,4172.4,1976,1987,12,384.0,499.3154066121507,603.0,0.0,0.0,7.097176106770405,7.9073201497392915,13.228479003905534,12.374999999999261,7.434929605945731,12.802753825928797,6.741,9.52,0.12133799999999999,0.19713546160483175,10.0,33.97746323344878,108.0
40,1258300,3810.0,3669.4,1967,2018,52,1076.0,1427.073413996076,2202.0,0.0,0.0,15.509350585937,16.523209635416208,-20.904166666666868,-21.737927246093875,16.10321369782496,-21.302266203376195,0.81,2.69,0.018368503937007875,0.06333896549844661,17.0,143.85267346160134,1086.0
41,1258350,4010.0,4154.4,1967,2017,51,974.0,1344.6631295913958,2119.0,0.0,0.0,15.61737467447864,16.741666666666163,-21.368981933593943,-21.99987386067727,16.21445172709091,-21.679884352641285,0.255,2.31,0.00549426433915212,0.04804159445407279,6.0,83.29759446871849,998.0
42,1258510,2490.0,2644.8,1980,2018,39,741.0,1318.1921101600299,2343.0,0.0,0.0,15.75867106119739,16.579166666666083,-23.205826822916833,-23.791593424479288,16.15219684492939,-23.496752567506235,0.127,0.72,0.004406746987951808,0.023520871143375678,30.0,233.96166728693711,1143.0
43,1259200,208.0,208.0,1975,1987,13,1483.0,2030.8069395017794,2893.0,0.0,0.0,27.688977050780636,27.913631184895053,-30.37941080729172,-30.53329264322923,27.798546244027598,-30.45463023155024,0.75,0.5,0.31153846153846154,0.2076923076923077,260.0,657.5729537366548,964.0
44,1259250,945.0,1003.2,1978,1992,15,1521.0,1829.2435204176766,2884.0,0.0,0.0,27.542525227863962,28.037499999999284,-29.21430257161461,-29.595833333333417,27.754558703298148,-29.378788670916656,3.425,2.22,0.31314285714285717,0.19119617224880384,68.0,347.365280626515,963.0
45,1259300,86.0,86.0,1980,1992,13,1960.0,2386.5652173913045,2834.0,0.0,0.0,27.885042317707644,27.976908365884753,-29.337500000000034,-29.469128417968818,27.931226418186878,-29.403896192448023,0.793,0.27,0.7966883720930232,0.2712558139534884,323.0,545.8793859649123,798.0
46,1259400,4140.0,4089.3,1973,2019,47,1027.0,1422.1332578331446,1921.0,0.0,0.0,16.488635253905727,17.176965332030647,-25.491666666666788,-26.447798665364644,16.830702534877254,-25.981219170038003,0.278,1.1,0.005801739130434783,0.02324114151566283,11.0,141.50521251002405,459.0
47,1259500,57.0,54.8,1980,1992,13,2618.0,2884.0068728522338,3151.0,0.0,0.0,28.595833333332678,28.724999999999227,-28.650000000000034,-28.74006347656251,28.65648670529538,-28.696847794783395,0.508,0.26,0.7700210526315789,0.4099270072992701,272.0,481.573883161512,831.0
48,1259800,1660.0,1637.3,1978,1992,15,2036.0,2775.652248541023,3445.0,0.0,0.0,28.96243896484299,29.441666666665867,-28.888297526041754,-29.483333333333405,29.194894568484457,-29.21122857448959,5.993,9.13,0.3119248192771084,0.4817883100225982,197.0,589.4706959706959,1261.0
49,1286150,448.0,426.8,1954,1986,33,1092.0,1873.2429210134128,2699.0,0.0,0.0,34.1415812174472,34.39589843749917,-8.838781738281682,-9.145833333333655,34.25989488959728,-9.002668743929435,7.237,1.74,1.3957071428571428,0.35223992502343016,126.0,383.22531017369727,717.0
