Model,Group,mn_ksn,std_ksn,stde_ksn,mn_ksnqr,std_ksnqr,stde_ksnqr,mn_ksnqp,std_ksnqp,stde_ksnqp,mn_E,std_E,stde_E,p25_E,p75_E,mn_R,mn_P,cr,sr,U,perc_E_std,perc_U,int_qrt_E
gc025u,gcu,307.5590308096099,40.72705546898743,1.8213692910412094,343.34745908877613,75.97890608271092,3.3978799771402772,389.7319298653322,76.60985459513299,3.4260968524218396,249.52532208755875,15.39871986936175,0.22932135581947125,247.17490664152137,252.62225097521878,4.173566697735355,5.1115337385543285,1.4620455632763545,1.4620455632763545,250,6.17120528711644,-0.1898711649765005,5.4473443336974015
gc05u,gcu,328.40347289055967,39.02714188155116,1.7453468442935487,389.4069152368022,77.40938563470088,3.4618529675137375,435.3316036488702,77.65293679089224,3.4727449063385882,501.8429781247489,109.87585282803708,1.6362970270327097,491.7927095471896,502.0441784966351,4.580256813638371,5.498390737338256,1.5055270434735772,1.5055270434735772,500,21.894468512564096,0.36859562494978493,10.251468949445496
gc1u,gcu,349.13244320857444,42.56008454128049,1.9033448432488225,436.4815766093626,87.72104204652506,3.9230042614629457,482.1181144517637,87.65689719260615,3.9201356163875563,1029.1316521023496,222.4446123700674,3.3126974538276936,992.3562639025477,1015.9770027292325,5.039102843826585,5.934860155210369,1.5501802732900223,1.5501802732900223,1000,21.61478678803135,2.9131652102349563,23.62073882668483
gc2u,gcu,367.92243869713843,58.21448691067371,2.603431000150763,480.4669204819014,118.13122432014806,5.282988956902549,526.0473150614248,118.2852081878059,5.289875324812974,1909.447592381839,1102.7935069644059,16.423060121326117,1833.2163041619422,2021.4161616055208,5.565461462057616,6.435549764744597,1.596902087885357,1.596902087885357,2000,57.75458364839354,-4.527620380908047,188.1998574435786
gc4u,gcu,388.241586027966,64.26851352804582,2.8741753012315057,528.3507915601674,130.0677072222285,5.8168047005288654,573.6144246726983,131.02378426506206,5.859561765718921,3959.7425665645665,2206.4565637229375,32.85906978257719,3610.378780979954,4114.148259131616,6.126078666315942,6.968827266767122,1.6361352093376773,1.6361352093376773,4000,55.72222250895561,-1.0064358358858385,503.76947815166204
gc8u,gcu,413.35776583317244,68.46289305262019,3.0617536560391363,591.665117699722,133.7928123684113,5.983396467132845,636.2115089709793,135.83756263878027,6.074840479163967,8160.304915312383,3496.1308053705743,52.06520173180023,7095.395413459119,8544.317550476264,6.76342103093288,7.575088261888916,1.6725287630184857,1.6725287630184857,8000,42.84313933919637,2.0038114414047867,1448.9221370171454
gc025l,gcl,169.045424148543,3.0463252819887345,0.13623580824206052,124.19869420408054,4.179581342518318,0.18691655998721582,163.06178894683248,4.3391795138033205,0.19405400718877422,249.22846006701565,12.495950553249898,0.1860926328574813,246.26235854952938,252.41857445062126,1.4511091785734582,2.5218427084657966,0.48793788407098376,0.48793788407098376,250,5.013853774921945,-0.3086159731937414,6.156215901091883
gc05l,gcl,189.2443140444701,3.842507401570544,0.17184215507915634,151.83836540728055,5.4497280897482545,0.24371924935134343,192.0016528014895,5.668224545117107,0.2534907078922935,499.0268687446185,23.63518935712653,0.35198079544328026,495.0761715185081,505.34625348300324,1.7196582610945452,2.7772954181034697,0.508369801017732,0.508369801017732,500,4.736255868663868,-0.19462625107629491,10.270081964495148
gc1l,gcl,214.2336976645114,5.369126639261523,0.24011464290387513,189.89130092180653,8.58104222684928,0.3837558747406232,231.17274758218412,8.776828581053351,0.39251170668196633,998.4409839679246,45.90142166283183,0.6835747606984771,993.2940359066833,1006.7072906318573,2.0776456748557073,3.117824806634488,0.532105967912481,0.532105967912481,1000,4.597309445412994,-0.15590160320754196,13.413254725173942
gc2l,gcl,245.64602193885528,7.554898502581538,0.33786533229767374,243.58181709040568,13.200598433961135,0.5903487088402873,285.66889441966504,13.417610977027794,0.6000538048056303,1997.4162218276115,90.8948740460383,1.3536278294633022,1990.9600551137373,2011.8529915262116,2.5640855793905306,3.5805424242958863,0.5597777394759947,0.5597777394759947,2000,4.550622601976798,-0.129188908619426,20.892936412474228
gc4l,gcl,283.6039901767503,7.974311427134546,0.35662204849652407,314.14022248297056,13.047475709581029,0.5835008524280096,356.94880235155017,13.489310802101716,0.603260318462433,3992.2807625869937,185.11144597225947,2.756723164535418,3971.604019104416,4023.8544365081916,3.248857701416848,4.231920162822424,0.5926140166450409,0.5926140166450409,4000,4.63673416226136,-0.19298093532515848,52.25041740377583
gc8l,gcl,328.2076038302977,18.519257733253728,0.82820638368788,405.28818184104097,36.62979200675103,1.6381340985754749,448.59180727005145,36.67300498555453,1.6400666417377723,7986.134765977969,906.7132245532143,13.502986466277347,7950.592580388911,8073.948759674202,4.203032658334905,5.139562728288974,0.6299469932502022,0.6299469932502022,8000,11.353592834620537,-0.17331542527538205,123.35617928529064
gc025u_10l,gcu_10l,218.86893499824603,30.89129058741073,3.089129058741073,184.0019034278212,40.104713038104656,4.010471303810466,228.6131389656527,42.9200646357776,4.29200646357776,246.02503288484024,24.788433017163584,0.8221804246368992,246.2934603885742,250.56750353481905,2.4040230477157745,3.4282856858109514,0.7345468061716272,0.7345468061716272,250,10.075573500183857,-1.5899868460639028,4.27404314624485
gc05u_10l,gcu_10l,240.24178492677078,31.700115964427905,3.1700115964427904,218.00290993725955,44.76357578156664,4.476357578156664,263.38389645963855,47.174129680633634,4.717412968063363,495.02389234967933,49.949100404691166,1.6567070840066844,496.25768723608417,503.98565063951526,2.769821273510617,3.7762449753483067,0.7656613840676535,0.7656613840676535,500,10.09024032508873,-0.9952215300641342,7.72796340343109
